usc_title,module_name,deck,track_id
Aquilam,aquilam,1,1
We See Through (ft. Romaine),seethrough,2,2
Ocean (Goja Remix),ocean,3,3
Put the runes on u,runes,4,4
Gone For Never -Crunch Mix-,crunch,5,5
As I Need You,asineedyou,6,6
HaPPY FaSTeR,faster,7,7
Red Lips (Skrillex RMX),redlips,8,8
Girl Blunt,girlblunt,9,9
CHILL MODE,chillmode,10,10
Hustle Bones,hustlebones,11,11
Vroom Vroom,vroom,12,12
Hot Pink,hotpink,13,13
RAGE,rage,14,14
Promised Us a Future (Nos Prometieron Futuro),nofuture,15,15
Polish Dream,polish,16,16
Quiet Storm,quietstorm,17,17
Promises,promises,18,18
Colouour,moses,19,19
Dh'Eirich Mi Moch Madainn Cheothar,misty,20,20
Providence by Gaslight,gaslight,21,21
Heartaches,heartaches,22,22
I Wanna Get Better,better,23,23
HMU,hmu,24,24
 EXTERNAL AUDIO,autopilot,25,25
Vordhosbn,aphex,26,26
Star,star,27,27
Ocean Death,baths,28,28
I Bite Through It,bite,29,29

